Customer ID,Order Month,Purchase_Count,Purchased_This_Month,First_Purchase_Month,Purchased_Prev_Month,Status_New,Status_Active,Status_Churned
AA-10315,2018-03,2.0,True,2018-03,False,True,True,False
AA-10315,2018-04,,False,2018-03,True,False,False,True
AA-10315,2018-05,,False,2018-03,False,False,False,False
AA-10315,2018-06,,False,2018-03,False,False,False,False
AA-10315,2018-07,,False,2018-03,False,False,False,False
AA-10315,2018-08,,False,2018-03,False,False,False,False
AA-10315,2018-09,2.0,True,2018-03,False,False,True,False
AA-10315,2018-10,,False,2018-03,True,False,False,True
AA-10315,2018-11,,False,2018-03,False,False,False,False
AA-10315,2018-12,,False,2018-03,False,False,False,False
AA-10315,2019-01,,False,2018-03,False,False,False,False
AA-10315,2019-02,,False,2018-03,False,False,False,False
AA-10315,2019-03,,False,2018-03,False,False,False,False
AA-10315,2019-04,,False,2018-03,False,False,False,False
AA-10315,2019-05,,False,2018-03,False,False,False,False
AA-10315,2019-06,,False,2018-03,False,False,False,False
AA-10315,2019-07,,False,2018-03,False,False,False,False
AA-10315,2019-08,,False,2018-03,False,False,False,False
AA-10315,2019-09,,False,2018-03,False,False,False,False
AA-10315,2019-10,1.0,True,2018-03,False,False,True,False
AA-10315,2019-11,,False,2018-03,True,False,False,True
AA-10315,2019-12,,False,2018-03,False,False,False,False
AA-10315,2020-01,,False,2018-03,False,False,False,False
AA-10315,2020-02,,False,2018-03,False,False,False,False
AA-10315,2020-03,4.0,True,2018-03,False,False,True,False
AA-10315,2020-04,,False,2018-03,True,False,False,True
AA-10315,2020-05,,False,2018-03,False,False,False,False
AA-10315,2020-06,,False,2018-03,False,False,False,False
AA-10315,2020-07,,False,2018-03,False,False,False,False
AA-10315,2020-08,,False,2018-03,False,False,False,False
AA-10315,2020-09,,False,2018-03,False,False,False,False
AA-10315,2020-10,,False,2018-03,False,False,False,False
AA-10315,2020-11,,False,2018-03,False,False,False,False
AA-10315,2020-12,,False,2018-03,False,False,False,False
AA-10315,2021-01,,False,2018-03,False,False,False,False
AA-10315,2021-02,,False,2018-03,False,False,False,False
AA-10315,2021-03,,False,2018-03,False,False,False,False
AA-10315,2021-04,,False,2018-03,False,False,False,False
AA-10315,2021-05,,False,2018-03,False,False,False,False
AA-10315,2021-06,2.0,True,2018-03,False,False,True,False
AA-10315,2021-07,,False,2018-03,True,False,False,True
AA-10315,2021-08,,False,2018-03,False,False,False,False
AA-10315,2021-09,,False,2018-03,False,False,False,False
AA-10315,2021-10,,False,2018-03,False,False,False,False
AA-10315,2021-11,,False,2018-03,False,False,False,False
AA-10315,2021-12,,False,2018-03,False,False,False,False
AA-10375,2018-04,1.0,True,2018-04,False,True,True,False
AA-10375,2018-05,,False,2018-04,True,False,False,True
AA-10375,2018-06,,False,2018-04,False,False,False,False
AA-10375,2018-07,,False,2018-04,False,False,False,False
AA-10375,2018-08,,False,2018-04,False,False,False,False
AA-10375,2018-09,,False,2018-04,False,False,False,False
AA-10375,2018-10,1.0,True,2018-04,False,False,True,False
AA-10375,2018-11,,False,2018-04,True,False,False,True
AA-10375,2018-12,,False,2018-04,False,False,False,False
AA-10375,2019-01,,False,2018-04,False,False,False,False
